sense0.psc.edu
Welcome... I see you're running freebsd on sense0.psc.edu

WARNING: using cached data (if available)
	run with '-u' option to force live data collection

------- Summary  --------
Drive Count: 263 | Backplanes: 22 | Switches : 2

---------- sdiska0-front ---------------
---------- sdiska1-front ---------------
type=expander,subtype=24-bay backplane,wwn=0x500304800109dc7f,handle=ses13,model=SAS2X36,wwnbase=0x500304800109dc40,diskbase=0x500304800109dc4cphybase=12
type=disk,subtype=SATA,serial=MJ1323YNG10JEC,model=Hitachi HDS5C303,capacity=,sd0=da39,sg0=pass59,scsi_id0=7:25:0,wwn0=0x500304800109dc4c,hop0=scbus7,backplane0=sdiska1-front,slot0=0,phy0=12
type=disk,subtype=SATA,serial=MJ1323YNG1TRRC,model=Hitachi HDS5C303,capacity=,sd0=da43,sg0=pass63,scsi_id0=7:26:0,wwn0=0x500304800109dc4d,hop0=scbus7,backplane0=sdiska1-front,slot0=1,phy0=13
type=disk,subtype=SATA,serial=MJ1323YNG1611C,model=Hitachi HDS5C303,capacity=,sd0=da36,sg0=pass56,scsi_id0=7:27:0,wwn0=0x500304800109dc4e,hop0=scbus7,backplane0=sdiska1-front,slot0=2,phy0=14
type=disk,subtype=SATA,serial=MJ1323YNG164NC,model=Hitachi HDS5C303,capacity=,sd0=da30,sg0=pass50,scsi_id0=7:28:0,wwn0=0x500304800109dc4f,hop0=scbus7,backplane0=sdiska1-front,slot0=3,phy0=15
type=disk,subtype=SATA,serial=MJ1323YNG1DXZC,model=Hitachi HDS5C303,capacity=,sd0=da38,sg0=pass58,scsi_id0=7:29:0,wwn0=0x500304800109dc50,hop0=scbus7,backplane0=sdiska1-front,slot0=4,phy0=16
type=disk,subtype=SATA,serial=MJ1323YNG1DU2C,model=Hitachi HDS5C303,capacity=,sd0=da32,sg0=pass52,scsi_id0=7:30:0,wwn0=0x500304800109dc51,hop0=scbus7,backplane0=sdiska1-front,slot0=5,phy0=17
type=disk,subtype=SATA,serial=MJ1323YNG0ZHVC,model=Hitachi HDS5C303,capacity=,sd0=da37,sg0=pass57,scsi_id0=7:31:0,wwn0=0x500304800109dc52,hop0=scbus7,backplane0=sdiska1-front,slot0=6,phy0=18
type=disk,subtype=SATA,serial=MJ1323YNG0ZGDC,model=Hitachi HDS5C303,capacity=,sd0=da60,sg0=pass80,scsi_id0=7:32:0,wwn0=0x500304800109dc53,hop0=scbus7,backplane0=sdiska1-front,slot0=7,phy0=19
type=disk,subtype=SATA,serial=MJ1323YNG1RT7C,model=Hitachi HDS5C303,capacity=,sd0=da45,sg0=pass65,scsi_id0=7:33:0,wwn0=0x500304800109dc54,hop0=scbus7,backplane0=sdiska1-front,slot0=8,phy0=20
type=disk,subtype=SATA,serial=MJ1323YNG11TYC,model=Hitachi HDS5C303,capacity=,sd0=da41,sg0=pass61,scsi_id0=7:34:0,wwn0=0x500304800109dc55,hop0=scbus7,backplane0=sdiska1-front,slot0=9,phy0=21
type=disk,subtype=SATA,serial=MJ1323YNG15BGC,model=Hitachi HDS5C303,capacity=,sd0=da34,sg0=pass54,scsi_id0=7:35:0,wwn0=0x500304800109dc56,hop0=scbus7,backplane0=sdiska1-front,slot0=10,phy0=22
type=disk,subtype=SATA,serial=MJ1323YNG1620C,model=Hitachi HDS5C303,capacity=,sd0=da40,sg0=pass60,scsi_id0=7:36:0,wwn0=0x500304800109dc57,hop0=scbus7,backplane0=sdiska1-front,slot0=11,phy0=23
type=disk,subtype=SATA,serial=MJ1323YNG0ZLVC,model=Hitachi HDS5C303,capacity=,sd0=da65,sg0=pass85,scsi_id0=7:37:0,wwn0=0x500304800109dc58,hop0=scbus7,backplane0=sdiska1-front,slot0=12,phy0=24
type=disk,subtype=SATA,serial=MJ1323YNG1TWZC,model=Hitachi HDS5C303,capacity=,sd0=da59,sg0=pass79,scsi_id0=7:38:0,wwn0=0x500304800109dc59,hop0=scbus7,backplane0=sdiska1-front,slot0=13,phy0=25
type=disk,subtype=SATA,serial=MJ1323YNG16TPC,model=Hitachi HDS5C303,capacity=,sd0=da55,sg0=pass75,scsi_id0=7:39:0,wwn0=0x500304800109dc5a,hop0=scbus7,backplane0=sdiska1-front,slot0=14,phy0=26
type=disk,subtype=SATA,serial=MJ1323YNG16R7C,model=Hitachi HDS5C303,capacity=,sd0=da70,sg0=pass90,scsi_id0=7:40:0,wwn0=0x500304800109dc5b,hop0=scbus7,backplane0=sdiska1-front,slot0=15,phy0=27
type=disk,subtype=SATA,serial=MJ1323YNG18KWC,model=Hitachi HDS5C303,capacity=,sd0=da48,sg0=pass68,scsi_id0=7:41:0,wwn0=0x500304800109dc5c,hop0=scbus7,backplane0=sdiska1-front,slot0=16,phy0=28
type=disk,subtype=SATA,serial=MJ1323YNG1DRTC,model=Hitachi HDS5C303,capacity=,sd0=da35,sg0=pass55,scsi_id0=7:42:0,wwn0=0x500304800109dc5d,hop0=scbus7,backplane0=sdiska1-front,slot0=17,phy0=29
